category_type,name,contact,phone,cellphone,fax,address,wc,liability,pollution,auto,w9,independent_contractor_agreement,email
ALARM INSTALLATION/SECURITY SYSTEM,"FALCON ENGINEERED SECURITY SOLUTIONS, INC",JESSICA,917-631-9500,,917-631-9502,"695 EAST 132ND STREET BRONX, NY 10454",12/2/16,12/2/16,N/A,NONE ON FILE,YES,YES,JCASTRO1FES@GMAIL.COM
ARCHITECHS & ENGINEERS,FUTURE TECH CONSULTANTS OF NY INC.,JOE,516-918-2980,,516-456-4911,"52 EAST 2ND STREET MINEOLA, NY 11501",5/7/2017,12/18/16,12/18/16,NONE ON FILE,YES,YES,JCASTRO1FES@GMAIL.COM
ASBESTOS ABATEMENT,CHESAPEAKE CONTRACTING CORP.,JOHN,631-929-3060,516-398-8260,631-929-0540,"PO BOX 758 SHOREHAM, NY 11786",5/24/2017,5/3/17,5/3/17,NONE ON FILE,YES,YES,CHCOCO@OPTONLINE.NET
ASBESTOS REMOVAL,UNITECH SERVICES GROUP,TONY,631-242-7215,631-872-0074,631-242-7206,"241-4 N. FEHR WAY BAY SHORE, NY 11706",7/1/17,12/29/16,12/29/16,NONE ON FILE,YES,YES,HAZWOPPER@AOL.COM
BIO HAZARD CLEAN-UP & REMOVAL,ISLAND TRAUMA SERVICES INC.,DOUG,855-872-8624,631-704-0085,,"1600 N. OCEAN AVENUE UNIT 16 HOLTSVILLE, NY 11742",1/19/17,11/16/17,11/16/17,NONE ON FILE,YES,YES,DOUG@ISLANDTRAUMA.COM
BIO HAZARD CLEAN-UP & REMOVAL,NJ MEDICAL WASTE,SURI,877-556-5865,,732-377-8699,"11 HARTS LANE SUITE E EAST BRUNSWICK, NJ 08816",AFFADAVIT ON FILE,4/21/17,N/A,NONE ON FILE,YES,YES,FRONTOFFICE@NJMEDICALWASTE.COM
BOARD UP,CIPCO BOARDING CO.,JIM,516-536-1135,,516-887-0779,"PO BOX 824 LYNBROOK, NY 11563",6/21/17,1/18/17,N/A,NONE ON FILE,YES,YES,INFO@CIPCOBOARDING.COM
BOARD UP,"G-SIX ENTERPRISES, LLC",GILLY,201-421-0117,201-421-0118,973-302-4773,"83 SPRUCE STREET BLOOMFIELD, NJ 07003",5/19/17,5/18/17,N/A,NONE ON FILE,YES,YES,GILLYBUP@AOL.COM
BOARD UP,ULTIMATE BOARD UP,KEITH,631-438-6060,SAME AS MAIN #,631-395-4637,"398 WEST END AVE. SHIRLEY, NY 11967",12/29/16,4/23/17,N/A,NONE ON FILE,YES,YES,ULTIMATEBOARDUP@YAHOO.COM
BOARD UP,USA EMERGENCY BOARD UP INC,TONY,631-231-3338,631-327-4300,631-231-0009,"18 WILSON ST, BRENTWOOD, NY 11717",10/5/17,10/3/17,N/A,8/20/17,YES,YES,EMERGENCY@USABOARDUP.COM
CARTING,"A.J BLOSENSKI, INC",ANTHONY,610-942-2707,610-942-2517,610-942-2495,"PO BOX 392 ELVERSON, PA 19520",5/31/17,7/1/17,N/A,NONE ON FILE,YES,YES,
CARTING,B BROS C & C CORP.,JULIO,516-860-5859,516-445-1173,,"78 FOREST AVENUE FREEPORT, NY 11520",3/10/17,3/6/17,N/A,NONE ON FILE,YES,YES,JBONILLA2883@YAHOO.COM
CARTING,BORO-WIDE RECYCLING CORP,,718-326-7149,SAME AS MAIN #,718-416-1913,"3 RAILROAD PLACE, MASPETH, NY 11378",7/1/17,8/15/17,N/A,NONE ON FILE,YES,YES,INFO@BOROWIDERECYCLING.COM
CARTING,DELISA DEMOLITION,,732-988-2525,,732-988-8333,"101 COMMERCE DRIVE TINTON FALLS, NJ 07753",5/27/17,2/23/17,N/A,NONE ON FILE,YES,YES,
CARTING,FRANCO BROS. CARTING CORP.,PAT,631-673-2252,516-860-4978,,"114 RAILROAD STREET HUNTINGTON STATION, NY 11746",9/3/17,10/3/17,N/A,NONE ON FILE,YES,YES,FBCARTING@GMAIL.COM
CARTING,LIBERTY ASHES INC.,STEPHEN,718-739-7224 X214,917-731-8626,516-354-6762,"112 PHYLIS COURT ELMONT, NY 11003",6/30/17,5/7/17,N/A,NONE ON FILE,YES,YES,MICH0914@HOTMAIL.COM
CARTING,MARPAL DISPOSAL / REPUBLIC SERVICES INC,JULIE,732-542-2348 / 800-660-0696,N/A,732-542-2958,"PO BOX 188 LINCROFT, NEW JERSEY 07738",6/30/17,6/30/17,N/A,NONE ON FILE,YES,YES,CAFIEROC@REPSRV.COM
