"name","rfid","equipment_type","asset_cost","rental_cost","location","purchased","notes"
"APEX COMPRESSOR- MEDFORD WAREHOUSE","0000 0000 0000 0000 1112 0950","Misc.","","$0","","",""
"APEX GENERATOR- MEDFORD WAREHOUSE","0000 0000 0000 0000 1112 0197","Generator","","$0","","",""
"APEX TRASH PUMP","0000 0000 0000 0000 1112 0278","Misc.","","$0","","",""
"BACKPACK HEPA VACUUM-SN#-10047173-AS#-7173-MEDFORD WHSE","8230 0000 0000 0000 0006 6526","Vacuum","","$0","","",""
"BACKPACK HEPA VACUUM-SN#-1505 00045-AS#-0045-MEDFORD WHSE","8230 0000 0000 0000 0006 6574","Vacuum","","$0","","",""
"BACKPACK HEPA VACUUM-SN#-150500054-AS#-0054-MEDFORD WHSE","8230 0000 0000 0000 0006 6525","Vacuum","","$0","","",""
"BACKPACK HEPA VACUUM-SN#-1515 00024-AS#-0024-MEDFORD WHSE","8230 0000 0000 0000 0006 6576","Vacuum","","$0","","",""
"BACKPACK HEPA VACUUM-SN#-1515 00026-AS#-0026-MEDFORD WHSE","8230 0000 0000 0000 0006 6575","Vacuum","","$0","","",""
"BACKPACK HEPA VACUUM-SN#-151500019-AS#-0019-MEDFORD WHSE","8230 0000 0000 0000 0006 6524","Vacuum","","$0","","",""
"BACKPACK HEPA VACUUM-SN#-ALH8720968-AS#-0968-MEDFORD WHSE","8230 0000 0000 0000 0006 6578","Vacuum","","$0","","",""
"BACKPACK HEPA VACUUM-SN#-ALI8722240-AS#-2240-MEDFORD WHSE","8230 0000 0000 0000 0006 6577","Vacuum","","$0","","",""
"BACKPACK HEPA VACUUM-SN#-BLL8726705-AS#-6705-MEDFORD WHSE","8230 0000 0000 0000 0006 6527","Vacuum","","$0","","",""
"BACKPACK HEPA VACUUM-SN#-NONE-AS#-8931-MEDFORD WHSE","8230 0000 0000 0000 0006 6573","Vacuum","","$0","","",""
"CEP SPIDER BOX-MEDFORD(1)","0000 0000 0000 0000 1112 2037","Power Distribution","$400.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12615205809-MEDFORD WHSE","0000 0000 0000 0000 1112 2044","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12615205811-MEDFORD WHSE","0000 0000 0000 0000 1112 5822","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12615205818-MEDFORD WHSE","0000 0000 0000 0000 1112 5805","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12615205825-MEDFORD WHSE","0000 0000 0000 0000 1112 2002","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12615205838-MEDFORD WHSE","0000 0000 0000 0000 1112 5813","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12615305847-MEDFORD WHSE","0000 0000 0000 0000 1112 2021","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12615305881-MEDFORD WHSE","0000 0000 0000 0000 1112 5804","Air Scrubber","$630.00","$0","","",""
