name,bulletin_number,effective_date,states_involved,property_type,collect_deductible,esl,estimating_software,pricing,customer_service_contacts,special_conditions
AAA Missouri Insurance Company,4056-SF,3/22/2012,"U.S. Franchises in AL, AR, IL, IN, KS, LA, MO, and MS",R,Yes,"3,000 ",Xactimate 27.5,Use the most current price list provided by Xactimate for your area.,1-800-222-7623,Dispatches for AAA Missouri will appear as AAA Northern New England..  Use Xactimate Profile ACSC.
AAA of Carolina Group,4493-SF,1/31/2014,"U. S. Franchises in NC, SC",R,"No, unless otherwise instructed by the Adjuster.",,Xactimate,Use the most current price list provided by Xactimate for your area.,"1-800-974-1222 (Joanne Marinaro, Claims Manager; 704-569-7881 (Danielle Murphy)","Verbal briefing to AAA Carolina rep or adjuster same business day, or at maximum, 24 hours of referral of claim, to include overview of job, any unusual circumstancesthat would allow AAA of Carolina to assess scope or severity of water and estimated total damages. If unable to meet guidelines, notify SERVPRO Call Center. Desiccant Dehus, Air Scrubbers, Injectidry Systems or other floor-drying systems require prior adjuster approval. Notify/get adjuster approval for: source not known or not from plumbing system insdide the home, customer service issure, pre-existing damage. If Category 1 loss changes to Category 2 or 3; if affected flooring continues through other unaffected rooms, supplements to the water-mitigation job.  Sketch/Dimennsioning: measure to the inch."
AAA of Northern New England,3900-SF-3,5/16/2014,"U.S. Franchises in AL, AR, IL, IN, KS, ME, MO, MS, NH, PA, and VT.",R,No - the deductible will be applied elsewhere on the claim.,"2,500 ",Xactimate 27.5,Use the most current price list provided by Xactimate for your area.  The use of Base Service Charges is not approved for this program.,"Northern New England:(207) 791-6140 – Keith Sproul
(207) 791-8544 – Tonnya Sayah
(207) 791-8540 -Pennsylvania
Richard Weir or Michael Nanni
(724) 836-3215, Option 2 for Claims, then Option 3.  Maine
Laurie Dumont – (207) 776-6150 -After Hours
(800) 672-5246; (800) 222-7623 with insured's name and claim number.","Xactimate Profile:  ACSC     Disposal of any contents requires prior adjuster approval. A list of all contents to be removed and photos Provide the Estimator’s name and contact information during the
verbal briefing, as well as in the opening statement of the Xactimate® Estimate. Submit a 12"" square sample of unsalvageable carpet or wood flooring to adjuster.  SEE BULLETIN FOR FIRE JOBS GUIDELINES."
AAA Southern California,4736-SF,11/16/2015,CA,R,"No; the deductible will be applied elsewhere on the claim, unless otherwise instructed by the adjuster.","2,500 ",Xactimate 27.5,Use the most current price list provided by Xactimate for your area.,"Veronica Rubio, Claim Manager, Property Claims
Office:  714-850-5691
Mobile:  949-838-7745
E-mail:  rubio.veronica@aaa-calif.com

","In addition to standard photos, the following photos are required: 1) equipment placement; 2) to support the decision for demolition; 3) pre-existing damages; 4) items suspected for potential subrogation.  See bulletin for more important details."
Acadia Insurance Company,3873-SF,2/7/2012,"U.S. Franchises in CT, MA, ME, NH, NY, PA, RI, VT -Participation is contingent upon approval by Acadia Ins. Co. and SERVPRO Commercial Large Loss Division and Large Loss Response Team.  In certain instances, Acadia may make a specific request as it relates to a Large Loss Response Team member.",C ,No,"10,000 ","Excluding subcontract work:  $100,000 or less, use Xactimate; over $100,000, use T&M; if T&M is to be used for losses under $100,000, it must be mutually agreed upon  at the time of event by Adjuster and SERVPRO Commercial Large Loss Division.  NTE Limit must be provided to adjuster within 48 hours.","If Xactimate, use most current price list provided by Xactimate for your area. Base Service Charges is not approved. If T&M, use most current price list for T&M.","During Business Hours:  800-773-4300; After Business Hours:  1-800-691-4966 (on-call adjuster).  If job is referred by a public adjuster, Franchise must notify th applicable Acadia Ins. Co. Adjuster within 48 hours.",
"Acceptance Casualty Ins. Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
ACE Private Risk Services (APRS) - Residential Water Mitigation,4337-F,9/27/2013,All U. S. States,R,No. It will be applied elsewhere on the loss.,"5,000 ",Xactimate,Use most current price list provided by Xactimate for your area. Base Service Charges not approved.,"IF UNABLE TO REACH THE ADJUSTER, CALL:  Melissa McIntyre 908-860-4762; cell 732-991-7368.     Arpan Sikder, cell 973-856-1404","Provide verbal briefing by phone and by email (if an email address is provided). DRYING WORKBOOK REQUIRED.  Keep flooring samples and send to ITEL if required. CONTENT MANIPULATION OR PACK-OUT MUST BE PRE-APPROVED BY ADJUSTER. Contact adjuster for referral for Dry Cleaning. IF MOLD DISCOVERED, NOTIFY ADJUSTER BY PHONE AND EMAIL."
ACE Private Risk Services (APRS) - Residential Fire & Smoke Mitigation Program,4338-F,9/27/2013,"All U. S. States         Only Franchisees who do a minimum monthly average of $10,000 in fire/smoke work performed for a rolling 12 month period is eligible for ACE PRS Fire/Smoke jobs.",R,Collect the deductible unless otherwise directed by the APRS Adjuster,"5,000 ",Xactimate,Use most current price list provided by Xactimate for your area. Base Service Charges not approved.,"IF UNABLE TO REACH ADJUSTER, CALL:  Melissa McIntyre 908-860-4762; cell 732-991-7368.     Arpan Sikder, cell 973-856-1405"," INCLUDE IN FINAL UPLOAD PHOTOS OF CAUSE AND ORIGIN OF FIRE, IF POSSIBLE, AND OF BEFORE AND AFTER CLEANING OF ALL ROOMS. Provide verbal briefing by phone and email (if email address is provided). NO DEMOLITION OR RECONSTRUCTION WITHOUT ADJUSTER APPROVAL. TAKE PICTURES AND PROVIDE PROPER DOCUMENTION PRIOR TO.  Adjuster approval for dumpsters or pods. OBTAIN REFERRAL FROM ADJUSTER FOR DRY CLEANING.  Content manipulation of furniture inside home or Pack-Out must be pre-approved by adjuster. No multiple methods of cleaning on single item without specific adjuster approval. CONTENTS SEPARATE ESTIMATE FROM STRUCTURE. Take photos of bric-a-brac before removing from original location. Make inventory list identifying box number and contents of each box. SUBROGATION - NOTIFY ADJUSTER, TAKE PHOTOS, DO NOT DISTURB SUSPECTED ITEM. BOARD-UP AND DEBRIS REMOVAL ARE INCLUDED IN THIS PROGRAM. Notify adjuster by  phone and email if mold is discovered. WHEN TESTING IS REQUIRED BY LAW, ACE PRS WILL PAY FOR ASBESTOS TESTING, ONLY IF THE DAMAGE WILL AFFECT THE ABILITY TO PERFORM WORK ON THE LOSS."
Adventist Risk Management (ARM)/Gencon Ins. Co. of VT (GICV) - insurer of Seventh-day Adventist Church,4157-F,9/5/2012,All U.S. States,C ,Not applicable," $10,000. If the ESL will exceed $10,000, notify the SDA Church contact person. ","At time of initial inspection:  Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use most curent T & M Price List.","Communicate/coordinate with SDA Church contact person on site at each church-owned location, as well as the assigned adjuster. Any services or monitoring during their period of worship must be coordinated with the church contact person on how to proceed.                Kevin M. Davidson, Senior Claims Examiner, Phone: 301-680-6882, Email: kdavidson@adventistrisk.org","1) No smoking or alcoholic beverages within 1,000 feet of the SDA Church entity building.  2) On-site staff will direct how SERVPRO Franchises should conduct themselves due to the sensitive tradition of the Church. 3) Notify the Church contact person immediately of the schedule on which work is to be performed (church meeting times must be treated with the utmost respect: sundown Friday until Sundown Saturday) Follow IICRC guidelines. Seek prior approval from the Church contact person for on-site storage containers. Move-outs must be approved by the Church contact person or assigned adjuster."
AIG  ,5010-F,6/13/2016,All U.S. States,R & C,Check with Adjuster, Check with Adjuster ,"Under 100,000, Xactimate;             Over 100,000,T&M","Under 100,000, Xactimate;  Over 100,000,T&M                                      See bulletin for T&M fee schedule.","Contact the SERVPRO Corporate Commercial Large Loss Division (CLLD) by phone or email at CommercialLoss@servpronet.com within 24 hours of on-site arrival for all commercial jobs, regardless of source, with a potential reserve figure over $25,000 or $50,000 for CAPA Level I or II, respectively.  Any deviation from the initial reserve in excess of 5% for these losses must be communicated to the client and copied to CLLD when identified. For LLRT and ERT members, the initial reserve required for contacting CLLD is $100,000 and $250,000, respectively.  If you get a local job, call CLLD to advise that you are on the AIG claim. Nat. Accts. Manager for this account:  Mark Bristol, phone 615-451-0600, ext. 1604","Applies to all SNAPA-qualified Franchises.  See the bulletin for T & M pricing. Until the full bulletin is published, follow standard guidelines for SNAPA accounts."
