name,purchase_unit,cost_per_purchase_unit,cost_per_unit
Garbage Bags,100 Bags/Roll,49.50,0.495
Blue Tape,24 Rolls,110.00,4.58
Silver Duct Tape,24 Rolls/Case,107.50,4.48
Blue Dipped Work Gloves,12 Pairs/Case,8.75,0.73
Nitrill Gloves,Case of 900,127.50,0.15
6mil Plastic,Roll of 20'x100',73.00,0.73
4mil plastic,20'x100'/Roll,50.50,0.51
1.5mil poly,12'x200'/Roll,24.75,0.25
Zipper Tape,2/box,13.00,6.50
"Filters, 16x20x2",12/Case,39.00,3.25
Pre-filter Air scrubber 16x16x1,40/Case,21.50,0.54
"Filters Phoenix R200, 12x12",12/Case,231.00,19.25
Filters Evolution,3/Case,55.50,18.50
Filter Carbon Hepa 500,Individual,42.50,42.50
Mop head,Individual,2.65,2.65
Chem Sponges,36/Case,70.20,1.95
Utility Knife,Individual,3.35,3.35
Utility Knife Blade,100 Blades,10.00,0.10
Carpet Knife,Individual,9.55,9.55
Carpet Knife Blades,100/pack,18.75,0.19
Tyvek Suits XL,25/case,55.00,2.20
Tyvek Suits 2X,25/case,58.00,2.32
Tyvek Suits 4XL,25/case,66.50,3.76
