Status,Category,Vendor_Name,Phone_Number,Cell_Phone,Fax_Number,Address,Workers_Compensation,Liability_Insurance,Pollution,Auto_Insurance,W-9,Indepndent_Agreement,Email_Address,,,
Active,ASBESTOS ABATEMENT,CHESAPEAKE CONTRACTING CORP.,631-929-3060,516-398-8260,631-929-0540,"PO BOX 758 SHOREHAM, NY 11786",5/24/17,5/3/17,5/3/17,NONE ON FILE,YES,YES,CHCOCO@OPTONLINE.NET,,,
Active,ASBESTOS REMOVAL,UNITECH SERVICES GROUP,631-242-7215,631-872-0074,631-242-7206,"241-4 N. FEHR WAY BAY SHORE, NY 11706",7/1/17,12/29/17,12/29/17,7/1/17,YES,YES,HAZWOPPER@AOL.COM,,,
Active,BIO HAZARD CLEAN-UP & REMOVAL,ISLAND TRAUMA SERVICES INC.,855-872-8624,631-704-0085,,"1600 N. OCEAN AVENUE UNIT 16 HOLTSVILLE, NY 11742",1/19/17,11/16/17,11/16/17,NONE ON FILE,YES,YES,DOUG@ISLANDTRAUMA.COM,,,
Active,BIO HAZARD CLEAN-UP & REMOVAL,NJ MEDICAL WASTE,877-556-5865,,732-377-8699,"11 HARTS LANE SUITE E EAST BRUNSWICK, NJ 08816",AFFADAVIT ON FILE,4/21/17,N/A,4/21/17,YES,YES,FRONTOFFICE@NJMEDICALWASTE.COM,,,
Active,BOARD UP,CIPCO BOARDING CO.,516-536-1135,,516-887-0779,"PO BOX 824 LYNBROOK, NY 11563",6/21/17,1/18/18,N/A,6/12/17,YES,YES,INFO@CIPCOBOARDING.COM,,,
Active,BOARD UP,"G-SIX ENTERPRISES, LLC",201-421-0117,201-421-0118,973-302-4773,"83 SPRUCE STREET BLOOMFIELD, NJ 07003",5/19/17,5/18/17,N/A,NONE ON FILE,YES,NONE ON FILE,GILLYBUP@AOL.COM,,,
Active,BOARD UP,ULTIMATE BOARD UP,631-438-6060,SAME AS MAIN #,631-395-4637,"398 WEST END AVE. SHIRLEY, NY 11967",12/29/17,4/23/17,N/A,2/5/18,YES,YES,ULTIMATEBOARDUP@YAHOO.COM,,,
Active,BOARD UP,USA EMERGENCY BOARD UP INC,631-231-3338,631-327-4300,631-231-0009,"18 WILSON ST, BRENTWOOD, NY 11717",10/5/17,10/3/17,N/A,8/20/17,YES,YES,EMERGENCY@USABOARDUP.COM,,,
Active,CARTING,ADVANCED CONTAINER SERVICE INC.,908-222-1534,908-380-8860,908-222-1539,"PO BOX 205 SCOTCH PLAINS, NJ 07076",10/27/17,10/27/17,N/A,10/27/17,YES,YES,CARLUCCI34@YAHOO.COM,,,
Active,CARTING,"A.J BLOSENSKI, INC",610-942-2707,610-942-2517,610-942-2495,"PO BOX 392 ELVERSON, PA 19520",5/31/17,7/1/17,N/A,NONE ON FILE,YES,YES,,,,
Active,CARTING,B BROS C & C CORP.,516-860-5859,516-445-1173,,"78 FOREST AVENUE FREEPORT, NY 11520",3/10/17,3/6/17,N/A,NONE ON FILE,YES,YES,NBONILLA84@GMAIL.COM,,,
Active,CARTING,DELISA WASTE SERVICES,732-988-2525,,732-988-8333,"101 COMMERCE DRIVE TINTON FALLS, NJ 07753",5/27/17,2/23/18,N/A,2/23/18,YES,YES,CONTACT@DELISAWASTESERVICES.COM,,,
Active,CARTING,FRANCO BROS. CARTING CORP.,631-673-2252,516-860-4978,,"114 RAILROAD STREET HUNTINGTON STATION, NY 11746",9/3/17,10/3/17,N/A,NONE ON FILE,YES,YES,FBCARTING@GMAIL.COM,,,
Active,CARTING,LIBERTY ASHES INC.,718-739-7224 X214,917-731-8626,516-354-6762,"112 PHYLIS COURT ELMONT, NY 11003",6/30/17,5/7/17,N/A,5/3/17,YES,YES,MICH0914@HOTMAIL.COM,,,
Active,CARTING,MARPAL DISPOSAL / REPUBLIC SERVICES INC,732-542-2348 / 800-660-0696,N/A,732-542-2958,"PO BOX 188 LINCROFT, NEW JERSEY 07738",6/30/17,6/30/17,N/A,6/30/17,YES,YES,BATTANASIO@REPUBLICSERVICES.COM,,,
Active,CARTING,REPUBLIC SERVICES d/b/a MIDCO WASTE,732-545-8988,,,"1198 PROSPECT AVENUE WESTBURY, NY 11590",6/30/17,6/30/17,N/A,6/30/17,YES,N/A,TFARMER2@REPUBLICSERVICES.COM,,,
Active,CARTING,THOMPSON SANITATION,845-796-1032,,845-796-1033,"47 KATRINA FALLS ROAD ROCK HILL, NY 12775",12/20/17,7/18/17,N/A,7/18/17,YES,YES,TSCHAULERS@AOL.COM,,,
Active,CARTING,"WINTERS BROS. HAULING OF LONG ISLAND, LLC",516-937-0900,516-301-3539,516-334-3264,"120 NANCY STREET WEST BABYLON, NY 11704",1/1/18,1/1/18,N/A,1/1/18,YES,YES,TCOREY@WINTERSBROS.COM,,,
Active,CARPET/FLOORING,BAY CARPET,718-366-5001,,718-628-4813,"65-04 MYRTLE AVENUE GLENDALE, NY 11385",10/21/17,4/1/17,N/A,4/1/17,YES,YES,BAYCARPET@YAHOO.COM,,,
Active,CARPET/FLOORING,DR. STEAMER,631-289-1515 OR 631-289-1729,631-472-0757,,"PO BOX 802 BAYPORT, NY 11705",7/16/17,6/3/17,N/A,NONE ON FILE,YES,YES,DRSTEAMER123@AOL.COM,,,
Active,CARPET/FLOORING,FINAL TOUCH FLOORING CORP.,631-676-5566,SAME AS MAIN #,631-676-5577,"55 REMINGTON BLVD. RONKONKOMA, NY 11779",7/11/17,9/22/17,N/A,NONE ON FILE,YES,YES,FINALTOUCHFLOORINGSB@YAHOO.COM,,,
